piece,material,grounded,massKg,support,released,removed,cx,cy,cz
234,ClayBrick,0,1.2975,Supported,0,0,67.500,0.000,75.000
235,ClayBrick,0,1.2975,Supported,0,0,123.750,0.000,75.000
236,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,75.000
237,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,75.000
238,ClayBrick,0,1.2975,Supported,0,0,180.000,0.000,75.000
239,ClayBrick,0,1.2975,Supported,0,0,236.250,0.000,75.000
240,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,75.000
241,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,75.000
242,ClayBrick,0,1.2975,Supported,0,0,292.500,0.000,75.000
243,ClayBrick,0,1.2975,Supported,0,0,348.750,0.000,75.000
244,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,75.000
245,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,75.000
246,ClayBrick,0,1.2975,Supported,0,0,405.000,0.000,75.000
247,ClayBrick,0,1.2975,Supported,0,0,461.250,0.000,75.000
248,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,75.000
249,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,75.000
250,ClayBrick,0,1.2975,Supported,0,0,517.500,0.000,75.000
251,ClayBrick,0,1.2975,Supported,0,0,573.750,0.000,75.000
252,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,75.000
253,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,75.000
254,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,75.000
255,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,82.500
256,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,82.500
257,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,82.500
258,ClayBrick,0,2.7216,Supported,0,0,56.250,0.000,82.500
259,ClayBrick,0,2.7216,Supported,0,0,123.750,0.000,82.500
260,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,82.500
261,ClayBrick,0,2.7216,Supported,0,0,168.750,0.000,82.500
262,ClayBrick,0,2.7216,Supported,0,0,236.250,0.000,82.500
263,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,82.500
264,ClayBrick,0,2.7216,Supported,0,0,281.250,0.000,82.500
265,ClayBrick,0,2.7216,Supported,0,0,348.750,0.000,82.500
266,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,82.500
267,ClayBrick,0,2.7216,Supported,0,0,393.750,0.000,82.500
268,ClayBrick,0,2.7216,Supported,0,0,461.250,0.000,82.500
269,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,82.500
270,ClayBrick,0,2.7216,Supported,0,0,506.250,0.000,82.500
271,ClayBrick,0,2.7216,Supported,0,0,573.750,0.000,82.500
272,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,82.500
273,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,82.500
274,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,82.500
275,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,90.000
276,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,90.000
277,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,90.000
278,ClayBrick,0,1.2975,Supported,0,0,67.500,0.000,90.000
279,ClayBrick,0,1.2975,Supported,0,0,123.750,0.000,90.000
280,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,90.000
281,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,90.000
282,ClayBrick,0,1.2975,Supported,0,0,180.000,0.000,90.000
283,ClayBrick,0,1.2975,Supported,0,0,236.250,0.000,90.000
284,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,90.000
285,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,90.000
286,ClayBrick,0,1.2975,Supported,0,0,292.500,0.000,90.000
287,ClayBrick,0,1.2975,Supported,0,0,348.750,0.000,90.000
288,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,90.000
289,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,90.000
290,ClayBrick,0,1.2975,Supported,0,0,405.000,0.000,90.000
291,ClayBrick,0,1.2975,Supported,0,0,461.250,0.000,90.000
292,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,90.000
293,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,90.000
294,ClayBrick,0,1.2975,Supported,0,0,517.500,0.000,90.000
295,ClayBrick,0,1.2975,Supported,0,0,573.750,0.000,90.000
296,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,90.000
297,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,90.000
298,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,90.000
299,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,97.500
300,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,97.500
301,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,97.500
302,ClayBrick,0,2.7216,Supported,0,0,56.250,0.000,97.500
303,ClayBrick,0,2.7216,Supported,0,0,123.750,0.000,97.500
304,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,97.500
305,ClayBrick,0,2.7216,Supported,0,0,168.750,0.000,97.500
306,ClayBrick,0,2.7216,Supported,0,0,236.250,0.000,97.500
307,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,97.500
308,ClayBrick,0,2.7216,Supported,0,0,281.250,0.000,97.500
309,ClayBrick,0,2.7216,Supported,0,0,348.750,0.000,97.500
310,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,97.500
311,ClayBrick,0,2.7216,Supported,0,0,393.750,0.000,97.500
312,ClayBrick,0,2.7216,Supported,0,0,461.250,0.000,97.500
313,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,97.500
314,ClayBrick,0,2.7216,Supported,0,0,506.250,0.000,97.500
315,ClayBrick,0,2.7216,Supported,0,0,573.750,0.000,97.500
316,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,97.500
317,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,97.500
318,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,97.500
319,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,105.000
320,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,105.000
321,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,105.000
322,ClayBrick,0,1.2975,Supported,0,0,67.500,0.000,105.000
323,ClayBrick,0,1.2975,Supported,0,0,123.750,0.000,105.000
324,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,105.000
325,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,105.000
326,ClayBrick,0,1.2975,Supported,0,0,180.000,0.000,105.000
327,ClayBrick,0,1.2975,Supported,0,0,236.250,0.000,105.000
328,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,105.000
329,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,105.000
330,ClayBrick,0,1.2975,Supported,0,0,292.500,0.000,105.000
331,ClayBrick,0,1.2975,Supported,0,0,348.750,0.000,105.000
332,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,105.000
333,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,105.000
334,ClayBrick,0,1.2975,Supported,0,0,405.000,0.000,105.000
335,ClayBrick,0,1.2975,Supported,0,0,461.250,0.000,105.000
336,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,105.000
337,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,105.000
338,ClayBrick,0,1.2975,Supported,0,0,517.500,0.000,105.000
339,ClayBrick,0,1.2975,Supported,0,0,573.750,0.000,105.000
340,ClayBrick,0,2.7216,Supported,0,0,585.000,0.000,105.000
341,ClayBrick,0,2.7216,Supported,0,0,607.500,0.000,105.000
342,ClayBrick,0,2.7216,Supported,0,0,630.000,0.000,105.000
343,ClayBrick,0,1.2975,Supported,0,0,0.000,0.000,112.500
344,ClayBrick,0,2.7216,Supported,0,0,11.250,0.000,112.500
345,ClayBrick,0,2.7216,Supported,0,0,33.750,0.000,112.500
346,ClayBrick,0,2.7216,Supported,0,0,56.250,0.000,112.500
347,ClayBrick,0,2.7216,Supported,0,0,123.750,0.000,112.500
348,ClayBrick,0,2.7216,Supported,0,0,146.250,0.000,112.500
349,ClayBrick,0,2.7216,Supported,0,0,168.750,0.000,112.500
350,ClayBrick,0,2.7216,Supported,0,0,236.250,0.000,112.500
351,ClayBrick,0,2.7216,Supported,0,0,258.750,0.000,112.500
352,ClayBrick,0,2.7216,Supported,0,0,281.250,0.000,112.500
353,ClayBrick,0,2.7216,Supported,0,0,348.750,0.000,112.500
354,ClayBrick,0,2.7216,Supported,0,0,371.250,0.000,112.500
355,ClayBrick,0,2.7216,Supported,0,0,393.750,0.000,112.500
356,ClayBrick,0,2.7216,Supported,0,0,461.250,0.000,112.500
357,ClayBrick,0,2.7216,Supported,0,0,483.750,0.000,112.500
358,ClayBrick,0,2.7216,Supported,0,0,506.250,0.000,112.500
359,ClayBrick,0,2.7216,Supported,0,0,573.750,0.000,112.500
360,ClayBrick,0,2.7216,Supported,0,0,596.250,0.000,112.500
361,ClayBrick,0,2.7216,Supported,0,0,618.750,0.000,112.500
362,ClayBrick,0,1.2975,Supported,0,0,641.250,0.000,112.500
363,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,120.000
364,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,120.000
365,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,120.000
366,ClayBrick,0,1.2975,Supported,0,0,67.500,0.000,120.000
367,ClayBrick,0,1.2975,Supported,0,0,123.750,0.000,120.000
368,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,120.000
369,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,120.000
370,ClayBrick,0,1.2975,Supported,0,0,180.000,0.000,120.000
371,ClayBrick,0,1.2975,Supported,0,0,236.250,0.000,120.000
372,ClayBrick,0,2.7216,Supported,0,0,247.500,0.000,120.000
373,ClayBrick,0,2.7216,Supported,0,0,270.000,0.000,120.000
374,ClayBrick,0,1.2975,Supported,0,0,292.500,0.000,120.000
375,ClayBrick,0,1.2975,Supported,0,0,348.750,0.000,120.000
376,ClayBrick,0,2.7216,Supported,0,0,360.000,0.000,120.000
377,ClayBrick,0,2.7216,Supported,0,0,382.500,0.000,120.000
378,ClayBrick,0,1.2975,Supported,0,0,405.000,0.000,120.000
379,ClayBrick,0,1.2975,Supported,0,0,461.250,0.000,120.000
380,ClayBrick,0,2.7216,Supported,0,0,472.500,0.000,120.000
381,ClayBrick,0,2.7216,Supported,0,0,495.000,0.000,120.000
382,ClayBrick,0,1.2975,Supported,0,0,517.500,0.000,120.000
