piece,released,removed,laidX,laidY,laidZ,finalX,finalY,finalZ,displacementCm,dropCm
4404,0,0,146.250,337.500,30.000,146.250,337.500,30.000,0.000,0.000
4405,0,0,146.250,-11.250,37.500,146.250,-11.250,37.500,0.000,0.000
4406,0,0,146.250,337.500,37.500,146.250,337.500,37.500,0.000,0.000
4407,0,0,146.250,-11.250,45.000,146.250,-11.250,45.000,0.000,0.000
4408,0,0,146.250,337.500,45.000,146.250,337.500,45.000,0.000,0.000
4409,0,0,146.250,-11.250,52.500,146.250,-11.250,52.500,0.000,0.000
4410,0,0,146.250,337.500,52.500,146.250,337.500,52.500,0.000,0.000
4411,0,0,146.250,-11.250,60.000,146.250,-11.250,60.000,0.000,0.000
4412,0,0,146.250,337.500,60.000,146.250,337.500,60.000,0.000,0.000
4413,0,0,146.250,-11.250,67.500,146.250,-11.250,67.500,0.000,0.000
4414,0,0,146.250,337.500,67.500,146.250,337.500,67.500,0.000,0.000
4415,0,0,146.250,-11.250,75.000,146.250,-11.250,75.000,0.000,0.000
4416,0,0,146.250,337.500,75.000,146.250,337.500,75.000,0.000,0.000
4417,0,0,146.250,-11.250,82.500,146.250,-11.250,82.500,0.000,0.000
4418,0,0,146.250,337.500,82.500,146.250,337.500,82.500,0.000,0.000
4419,0,0,146.250,-11.250,90.000,146.250,-11.250,90.000,0.000,0.000
4420,0,0,146.250,337.500,90.000,146.250,337.500,90.000,0.000,0.000
4421,0,0,146.250,-11.250,97.500,146.250,-11.250,97.500,0.000,0.000
4422,0,0,146.250,337.500,97.500,146.250,337.500,97.500,0.000,0.000
4423,0,0,146.250,-11.250,105.000,146.250,-11.250,105.000,0.000,0.000
4424,0,0,146.250,337.500,105.000,146.250,337.500,105.000,0.000,0.000
4425,0,0,146.250,-11.250,112.500,146.250,-11.250,112.500,0.000,0.000
4426,0,0,146.250,337.500,112.500,146.250,337.500,112.500,0.000,0.000
4427,0,0,146.250,-11.250,120.000,146.250,-11.250,120.000,0.000,0.000
4428,0,0,146.250,337.500,120.000,146.250,337.500,120.000,0.000,0.000
4429,0,0,146.250,-11.250,127.500,146.250,-11.250,127.500,0.000,0.000
4430,0,0,146.250,337.500,127.500,146.250,337.500,127.500,0.000,0.000
4431,0,0,146.250,-11.250,135.000,146.250,-11.250,135.000,0.000,0.000
4432,0,0,146.250,337.500,135.000,146.250,337.500,135.000,0.000,0.000
4433,0,0,146.250,-11.250,142.500,146.250,-11.250,142.500,0.000,0.000
4434,0,0,146.250,337.500,142.500,146.250,337.500,142.500,0.000,0.000
4435,0,0,146.250,-11.250,150.000,146.250,-11.250,150.000,0.000,0.000
4436,0,0,146.250,337.500,150.000,146.250,337.500,150.000,0.000,0.000
4437,0,0,146.250,-11.250,157.500,146.250,-11.250,157.500,0.000,0.000
4438,0,0,146.250,337.500,157.500,146.250,337.500,157.500,0.000,0.000
4439,0,0,146.250,-11.250,165.000,146.250,-11.250,165.000,0.000,0.000
4440,0,0,146.250,337.500,165.000,146.250,337.500,165.000,0.000,0.000
4441,0,0,146.250,-11.250,172.500,146.250,-11.250,172.500,0.000,0.000
4442,0,0,146.250,337.500,172.500,146.250,337.500,172.500,0.000,0.000
4443,0,0,146.250,-11.250,180.000,146.250,-11.250,180.000,0.000,0.000
4444,0,0,146.250,337.500,180.000,146.250,337.500,180.000,0.000,0.000
4445,0,0,146.250,-11.250,187.500,146.250,-11.250,187.500,0.000,0.000
