frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
254,4.2167,718,2,465.486,353.838,733.881,0,12.40
255,4.2333,718,1,465.486,353.838,733.881,0,12.31
256,4.2500,718,1,465.486,353.838,733.881,0,13.40
257,4.2667,718,1,465.486,353.838,733.881,0,12.57
258,4.2833,718,0,465.486,353.838,733.881,0,13.85
259,4.3000,718,1,465.486,353.838,733.881,0,13.74
260,4.3167,718,0,465.486,353.838,733.881,0,13.23
261,4.3333,718,1,465.486,353.838,733.881,0,13.80
262,4.3500,718,1,465.486,353.838,733.881,0,12.83
263,4.3667,718,2,465.486,353.838,733.881,0,14.36
264,4.3833,718,1,465.486,353.838,733.881,0,13.88
265,4.4000,718,1,465.486,353.838,733.881,0,13.34
266,4.4167,718,0,465.486,353.838,733.881,0,13.78
267,4.4333,718,0,465.486,353.838,733.881,0,11.79
268,4.4500,718,0,465.486,353.838,733.881,0,15.07
269,4.4667,718,1,465.486,353.838,733.881,0,12.58
270,4.4833,718,1,465.486,353.838,733.881,0,12.90
271,4.5000,718,2,465.486,353.838,733.881,0,12.67
272,4.5167,718,1,465.486,353.838,733.881,0,12.97
273,4.5333,718,1,465.486,353.838,733.881,0,14.37
274,4.5500,718,1,465.486,353.838,733.881,0,11.83
275,4.5667,718,2,465.486,353.838,733.881,0,14.80
276,4.5833,718,1,465.486,353.838,733.881,0,13.17
277,4.6000,718,1,465.486,353.838,733.881,0,14.23
278,4.6167,718,1,465.486,353.838,733.881,0,13.87
279,4.6333,718,1,465.486,353.838,733.881,0,13.83
280,4.6500,718,1,465.486,353.838,733.881,0,13.89
281,4.6667,718,1,465.486,353.838,733.881,0,13.27
282,4.6833,718,1,465.486,353.838,733.881,0,13.36
283,4.7000,718,1,465.486,353.838,733.881,0,14.40
284,4.7167,718,1,465.486,353.838,733.881,0,14.25
285,4.7333,718,1,465.486,353.838,733.881,0,12.30
286,4.7500,718,1,465.486,353.838,733.881,0,12.27
287,4.7667,718,1,465.486,353.838,733.881,0,14.27
288,4.7833,718,1,465.486,353.838,733.881,0,12.91
289,4.8000,718,1,465.486,353.838,733.881,0,13.49
290,4.8167,718,2,465.486,353.838,733.881,0,13.50
291,4.8333,718,1,465.486,353.838,733.881,0,12.24
292,4.8500,718,1,465.486,353.838,733.881,0,13.63
293,4.8667,718,1,465.486,353.838,733.881,0,13.83
294,4.8833,718,2,465.486,353.838,733.881,0,13.25
295,4.9000,718,1,465.486,353.838,733.881,0,13.90
296,4.9167,718,1,465.486,353.838,733.881,0,12.02
297,4.9333,718,1,465.486,353.838,733.881,0,13.64
298,4.9500,718,0,465.486,353.838,733.881,0,12.54
299,4.9667,718,1,465.486,353.838,733.881,0,12.25
300,4.9833,718,1,465.486,353.838,733.881,0,13.65
301,5.0000,718,1,465.486,353.838,733.881,0,328.80
302,5.0167,718,1,465.486,353.838,733.881,0,7.15
303,5.0333,718,0,465.486,353.838,733.881,0,7.80
304,5.0500,718,0,465.486,353.838,733.881,0,7.99
305,5.0667,718,1,465.486,353.838,733.881,0,12.76
306,5.0833,718,2,465.486,353.838,733.881,0,12.73
307,5.1000,718,0,465.486,353.838,733.881,0,13.07
308,5.1167,718,1,465.486,353.838,733.881,0,12.87
309,5.1333,718,2,465.486,353.838,733.881,0,12.21
310,5.1500,718,2,465.486,353.838,733.881,0,13.66
311,5.1667,718,2,465.486,353.838,733.881,0,12.91
312,5.1833,718,1,465.486,353.838,733.881,0,13.75
313,5.2000,718,1,465.486,353.838,733.881,0,14.61
314,5.2167,718,1,465.486,353.838,733.881,0,11.45
315,5.2333,718,1,465.486,353.838,733.881,0,13.56
316,5.2500,718,0,465.486,353.838,733.881,0,13.28
317,5.2667,718,0,465.486,353.838,733.881,0,13.67
318,5.2833,718,0,465.486,353.838,733.881,0,12.83
319,5.3000,718,1,465.486,353.838,733.881,0,13.51
320,5.3167,718,1,465.486,353.838,733.881,0,13.05
321,5.3333,718,0,465.486,353.838,733.881,0,13.22
322,5.3500,718,1,465.486,353.838,733.881,0,12.70
323,5.3667,718,2,465.486,353.838,733.881,0,14.12
324,5.3833,718,1,465.486,353.838,733.881,0,13.12
325,5.4000,718,0,465.486,353.838,733.881,0,12.57
326,5.4167,718,1,465.486,353.838,733.881,0,12.16
327,5.4333,718,0,465.486,353.838,733.881,0,12.99
328,5.4500,718,0,465.486,353.838,733.881,0,14.07
329,5.4667,718,0,465.486,353.838,733.881,0,13.28
330,5.4833,718,1,465.486,353.838,733.881,0,13.39
331,5.5000,718,1,465.486,353.838,733.881,0,11.96
332,5.5167,718,0,465.486,353.838,733.881,0,12.88
333,5.5333,718,2,465.486,353.838,733.881,0,12.57
334,5.5500,718,1,465.486,353.838,733.881,0,13.00
335,5.5667,718,1,465.486,353.838,733.881,0,12.54
336,5.5833,718,1,465.486,353.838,733.881,0,12.84
337,5.6000,718,1,465.486,353.838,733.881,0,12.69
338,5.6167,718,0,465.486,353.838,733.881,0,12.85
339,5.6333,718,1,465.486,353.838,733.881,0,13.47
340,5.6500,718,0,465.486,353.838,733.881,0,12.64
341,5.6667,718,1,465.486,353.838,733.881,0,13.73
342,5.6833,718,1,465.486,353.838,733.881,0,12.71
343,5.7000,718,0,465.486,353.838,733.881,0,14.85
344,5.7167,718,1,465.486,353.838,733.881,0,13.75
345,5.7333,718,0,465.486,353.838,733.881,0,13.76
346,5.7500,718,1,465.486,353.838,733.881,0,12.74
347,5.7667,718,0,465.486,353.838,733.881,0,14.18
348,5.7833,718,1,465.486,353.838,733.881,0,13.64
349,5.8000,718,1,465.486,353.838,733.881,0,13.24
350,5.8167,718,1,465.486,353.838,733.881,0,12.20
351,5.8333,718,0,465.486,353.838,733.881,0,13.00
352,5.8500,718,0,465.486,353.838,733.881,0,12.55
353,5.8667,718,1,465.486,353.838,733.881,0,13.40
354,5.8833,718,0,465.486,353.838,733.881,0,12.35
355,5.9000,718,0,465.486,353.838,733.881,0,11.85
356,5.9167,718,0,465.486,353.838,733.881,0,14.02
357,5.9333,718,1,465.486,353.838,733.881,0,13.14
358,5.9500,718,1,465.486,353.838,733.881,0,12.94
359,5.9667,718,0,465.486,353.838,733.881,0,12.89
360,5.9833,718,0,465.486,353.838,733.881,0,13.26
361,6.0000,718,1,465.486,353.838,733.881,0,13.19
362,6.0167,718,1,465.486,353.838,733.881,0,12.75
363,6.0333,718,0,465.486,353.838,733.881,0,12.99
364,6.0500,718,1,465.486,353.838,733.881,0,12.75
365,6.0667,718,1,465.486,353.838,733.881,0,13.28
366,6.0833,718,0,465.486,353.838,733.881,0,13.25
367,6.1000,718,1,465.486,353.838,733.881,0,12.86
368,6.1167,718,1,465.486,353.838,733.881,0,14.86
369,6.1333,718,2,465.486,353.838,733.881,0,12.83
370,6.1500,718,2,465.486,353.838,733.881,0,13.32
371,6.1667,718,2,465.486,353.838,733.881,0,14.04
372,6.1833,718,0,465.486,353.838,733.881,0,14.32
373,6.2000,718,1,465.486,353.838,733.881,0,13.86
374,6.2167,718,1,465.486,353.838,733.881,0,12.70
375,6.2333,718,1,465.486,353.838,733.881,0,13.76
376,6.2500,718,1,465.486,353.838,733.881,0,13.19
377,6.2667,718,0,465.486,353.838,733.881,0,13.53
378,6.2833,718,1,465.486,353.838,733.881,0,14.07
379,6.3000,718,1,465.486,353.838,733.881,0,12.88
380,6.3167,718,1,465.486,353.838,733.881,0,13.57
381,6.3333,718,0,465.486,353.838,733.881,0,12.85
382,6.3500,718,0,465.486,353.838,733.881,0,12.13
383,6.3667,718,0,465.486,353.838,733.881,0,13.07
384,6.3833,718,1,465.486,353.838,733.881,0,12.55
385,6.4000,718,2,465.486,353.838,733.881,0,13.26
386,6.4167,718,1,465.486,353.838,733.881,0,12.75
387,6.4333,718,0,465.486,353.838,733.881,0,12.53
388,6.4500,718,0,465.486,353.838,733.881,0,12.81
389,6.4667,718,0,465.486,353.838,733.881,0,14.57
390,6.4833,718,1,465.486,353.838,733.881,0,13.92
391,6.5000,718,2,465.486,353.838,733.881,0,12.39
392,6.5167,718,0,465.486,353.838,733.881,0,13.50
393,6.5333,718,2,465.486,353.838,733.881,0,13.32
394,6.5500,718,2,465.486,353.838,733.881,0,12.73
395,6.5667,718,2,465.486,353.838,733.881,0,13.61
396,6.5833,718,0,465.486,353.838,733.881,0,12.82
397,6.6000,718,0,465.486,353.838,733.881,0,14.49
398,6.6167,718,0,465.486,353.838,733.881,0,12.72
399,6.6333,718,0,465.486,353.838,733.881,0,14.31
400,6.6500,718,1,465.486,353.838,733.881,0,13.65
401,6.6667,718,1,465.486,353.838,733.881,0,13.24
402,6.6833,718,0,465.486,353.838,733.881,0,14.46
403,6.7000,718,1,465.486,353.838,733.881,0,13.09
404,6.7167,718,1,465.486,353.838,733.881,0,11.98
405,6.7333,718,0,465.486,353.838,733.881,0,13.75
406,6.7500,718,1,465.486,353.838,733.881,0,12.86
407,6.7667,718,1,465.486,353.838,733.881,0,13.36
408,6.7833,718,1,465.486,353.838,733.881,0,11.92
409,6.8000,718,0,465.486,353.838,733.881,0,14.64
410,6.8167,718,1,465.486,353.838,733.881,0,12.38
411,6.8333,718,0,465.486,353.838,733.881,0,13.40
412,6.8500,718,1,465.486,353.838,733.881,0,12.54
413,6.8667,718,0,465.486,353.838,733.881,0,12.64
414,6.8833,718,0,465.486,353.838,733.881,0,12.03
415,6.9000,718,0,465.486,353.838,733.881,0,12.55
416,6.9167,718,1,465.486,353.838,733.881,0,13.02
417,6.9333,718,2,465.486,353.838,733.881,0,15.25
418,6.9500,718,0,465.486,353.838,733.881,0,13.02
419,6.9667,718,1,465.486,353.838,733.881,0,12.64
420,6.9833,718,0,465.486,353.838,733.881,0,14.44
421,7.0000,718,0,465.486,353.838,733.881,0,13.56
422,7.0167,718,1,465.486,353.838,733.881,0,13.12
423,7.0333,718,0,465.486,353.838,733.881,0,13.09
