frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
284,4.7167,1436,11,465.492,356.105,733.881,0,24.44
285,4.7333,1436,12,465.487,356.105,733.881,0,27.57
286,4.7500,1436,11,465.487,356.105,733.881,0,27.65
287,4.7667,1436,16,465.488,356.105,733.881,0,29.88
288,4.7833,1436,12,465.487,356.105,733.881,0,40.14
289,4.8000,1436,11,465.488,356.105,733.881,0,29.29
290,4.8167,1436,9,465.487,356.105,733.881,0,26.59
291,4.8333,1436,9,465.490,356.105,733.881,0,24.30
292,4.8500,1436,10,465.489,356.105,733.881,0,24.95
293,4.8667,1436,11,465.488,356.105,733.881,0,25.97
294,4.8833,1436,13,465.493,356.105,733.881,0,26.01
295,4.9000,1436,12,465.492,356.105,733.881,0,28.08
296,4.9167,1436,11,465.489,356.105,733.881,0,25.04
297,4.9333,1436,8,465.489,356.105,733.881,0,25.40
298,4.9500,1436,7,465.492,356.105,733.881,0,25.92
299,4.9667,1436,11,465.489,356.105,733.881,0,26.26
300,4.9833,1436,11,465.489,356.106,733.881,0,26.62
301,5.0000,1436,10,465.492,356.106,733.881,0,351.64
302,5.0167,1436,16,465.487,356.105,733.881,0,22.36
303,5.0333,1436,6,465.487,356.106,733.881,0,26.77
304,5.0500,1436,8,465.488,356.105,733.881,0,25.43
305,5.0667,1436,9,465.487,356.105,733.881,0,26.50
306,5.0833,1436,13,465.489,356.105,733.881,0,26.85
307,5.1000,1436,10,465.489,356.105,733.881,0,29.83
308,5.1167,1436,13,465.491,356.105,733.881,0,25.34
309,5.1333,1436,14,465.487,356.106,733.881,0,25.12
310,5.1500,1436,13,465.488,356.105,733.881,0,25.98
311,5.1667,1436,8,465.492,356.106,733.881,0,25.99
312,5.1833,1436,10,465.487,356.106,733.881,0,27.02
313,5.2000,1436,8,465.492,356.106,733.881,0,27.76
314,5.2167,1436,17,465.489,356.106,733.881,0,25.62
315,5.2333,1436,10,465.493,356.106,733.881,0,26.57
316,5.2500,1436,9,465.489,356.106,733.881,0,25.19
317,5.2667,1436,14,465.494,356.106,733.881,0,25.48
318,5.2833,1436,8,465.489,356.106,733.881,0,25.98
319,5.3000,1436,9,465.489,356.106,733.881,0,29.73
320,5.3167,1436,12,465.494,356.106,733.881,0,26.19
321,5.3333,1436,11,465.488,356.106,733.881,0,26.52
322,5.3500,1436,14,465.489,356.106,733.881,0,26.30
323,5.3667,1436,12,465.491,356.106,733.881,0,24.85
324,5.3833,1436,18,465.489,356.106,733.881,0,25.88
325,5.4000,1436,11,465.487,356.106,733.881,0,28.77
326,5.4167,1436,8,465.490,356.106,733.881,0,25.39
327,5.4333,1436,7,465.487,356.106,733.881,0,25.38
328,5.4500,1436,10,465.488,356.106,733.881,0,26.46
329,5.4667,1436,9,465.492,356.106,733.881,0,25.26
330,5.4833,1436,12,465.489,356.106,733.881,0,25.40
331,5.5000,1436,15,465.493,356.106,733.881,0,28.23
332,5.5167,1436,14,465.492,356.106,733.881,0,24.73
333,5.5333,1436,11,465.487,356.107,733.881,0,26.64
334,5.5500,1436,15,465.488,356.106,733.881,0,25.89
335,5.5667,1436,9,465.489,356.106,733.881,0,24.99
336,5.5833,1436,10,465.487,356.106,733.881,0,26.70
337,5.6000,1436,11,465.489,356.107,733.881,0,27.25
338,5.6167,1436,9,465.489,356.106,733.881,0,26.25
339,5.6333,1436,6,465.491,356.106,733.881,0,27.17
340,5.6500,1436,14,465.493,356.106,733.881,0,26.94
341,5.6667,1436,10,465.487,356.106,733.881,0,25.96
342,5.6833,1436,11,465.488,356.106,733.881,0,26.30
343,5.7000,1436,11,465.487,356.107,733.881,0,27.84
344,5.7167,1436,15,465.488,356.107,733.881,0,24.96
345,5.7333,1436,14,465.488,356.107,733.881,0,26.98
346,5.7500,1436,14,465.493,356.107,733.881,0,26.19
347,5.7667,1436,11,465.487,356.107,733.881,0,25.35
348,5.7833,1436,12,465.493,356.107,733.881,0,27.31
349,5.8000,1436,13,465.492,356.107,733.881,0,28.28
